formulation,seed,model,true_label,predicted_label,count
binary_0_vs_1_4,42,LogisticRegression_balanced,0,0,68
binary_0_vs_1_4,42,LogisticRegression_balanced,0,1,14
binary_0_vs_1_4,42,LogisticRegression_balanced,1,0,16
binary_0_vs_1_4,42,LogisticRegression_balanced,1,1,86
binary_0_vs_1_4,42,RandomForest_balanced,0,0,65
binary_0_vs_1_4,42,RandomForest_balanced,0,1,17
binary_0_vs_1_4,42,RandomForest_balanced,1,0,13
binary_0_vs_1_4,42,RandomForest_balanced,1,1,89
binary_0_vs_1_4,42,ExtraTrees_balanced,0,0,68
binary_0_vs_1_4,42,ExtraTrees_balanced,0,1,14
binary_0_vs_1_4,42,ExtraTrees_balanced,1,0,14
binary_0_vs_1_4,42,ExtraTrees_balanced,1,1,88
binary_0_vs_1_4,42,XGBoost_fixed,0,0,67
binary_0_vs_1_4,42,XGBoost_fixed,0,1,15
binary_0_vs_1_4,42,XGBoost_fixed,1,0,9
binary_0_vs_1_4,42,XGBoost_fixed,1,1,93
binary_0_vs_1_4,42,LightGBM_fixed,0,0,65
binary_0_vs_1_4,42,LightGBM_fixed,0,1,17
binary_0_vs_1_4,42,LightGBM_fixed,1,0,13
binary_0_vs_1_4,42,LightGBM_fixed,1,1,89
binary_0_vs_1_4,7,LogisticRegression_balanced,0,0,64
binary_0_vs_1_4,7,LogisticRegression_balanced,0,1,18
binary_0_vs_1_4,7,LogisticRegression_balanced,1,0,19
binary_0_vs_1_4,7,LogisticRegression_balanced,1,1,83
binary_0_vs_1_4,7,RandomForest_balanced,0,0,59
binary_0_vs_1_4,7,RandomForest_balanced,0,1,23
binary_0_vs_1_4,7,RandomForest_balanced,1,0,16
binary_0_vs_1_4,7,RandomForest_balanced,1,1,86
binary_0_vs_1_4,7,ExtraTrees_balanced,0,0,58
binary_0_vs_1_4,7,ExtraTrees_balanced,0,1,24
binary_0_vs_1_4,7,ExtraTrees_balanced,1,0,19
binary_0_vs_1_4,7,ExtraTrees_balanced,1,1,83
binary_0_vs_1_4,7,XGBoost_fixed,0,0,59
binary_0_vs_1_4,7,XGBoost_fixed,0,1,23
binary_0_vs_1_4,7,XGBoost_fixed,1,0,12
binary_0_vs_1_4,7,XGBoost_fixed,1,1,90
binary_0_vs_1_4,7,LightGBM_fixed,0,0,59
binary_0_vs_1_4,7,LightGBM_fixed,0,1,23
binary_0_vs_1_4,7,LightGBM_fixed,1,0,16
binary_0_vs_1_4,7,LightGBM_fixed,1,1,86
binary_0_vs_1_4,21,LogisticRegression_balanced,0,0,64
binary_0_vs_1_4,21,LogisticRegression_balanced,0,1,18
binary_0_vs_1_4,21,LogisticRegression_balanced,1,0,19
binary_0_vs_1_4,21,LogisticRegression_balanced,1,1,83
binary_0_vs_1_4,21,RandomForest_balanced,0,0,66
binary_0_vs_1_4,21,RandomForest_balanced,0,1,16
binary_0_vs_1_4,21,RandomForest_balanced,1,0,18
binary_0_vs_1_4,21,RandomForest_balanced,1,1,84
binary_0_vs_1_4,21,ExtraTrees_balanced,0,0,64
binary_0_vs_1_4,21,ExtraTrees_balanced,0,1,18
binary_0_vs_1_4,21,ExtraTrees_balanced,1,0,21
binary_0_vs_1_4,21,ExtraTrees_balanced,1,1,81
binary_0_vs_1_4,21,XGBoost_fixed,0,0,65
binary_0_vs_1_4,21,XGBoost_fixed,0,1,17
binary_0_vs_1_4,21,XGBoost_fixed,1,0,16
binary_0_vs_1_4,21,XGBoost_fixed,1,1,86
binary_0_vs_1_4,21,LightGBM_fixed,0,0,65
binary_0_vs_1_4,21,LightGBM_fixed,0,1,17
binary_0_vs_1_4,21,LightGBM_fixed,1,0,22
binary_0_vs_1_4,21,LightGBM_fixed,1,1,80
binary_0_vs_1_4,84,LogisticRegression_balanced,0,0,67
binary_0_vs_1_4,84,LogisticRegression_balanced,0,1,15
binary_0_vs_1_4,84,LogisticRegression_balanced,1,0,22
binary_0_vs_1_4,84,LogisticRegression_balanced,1,1,80
binary_0_vs_1_4,84,RandomForest_balanced,0,0,65
binary_0_vs_1_4,84,RandomForest_balanced,0,1,17
binary_0_vs_1_4,84,RandomForest_balanced,1,0,20
binary_0_vs_1_4,84,RandomForest_balanced,1,1,82
